 #	time	total energy	potential energy	kinetic energy	temperature	pressure	mean square displacement/6
   3700.0000000000000        1.9845442451163302        1.9844727226427499        7.1522473580435390E-005  0.49988309612377130       -9.4558394351833091E-006   4.1691152025356289E-004
   3800.0000000000000        1.9842447264389971        1.9841752979145129        6.9428524484254299E-005  0.48524811910291354       -9.4212559782358564E-006   4.2117986706992485E-004
   3900.0000000000000        1.9841558309585596        1.9840836246213482        7.2206337211385178E-005  0.50466273882979673       -9.4015664029586454E-006   4.1153799644720509E-004
   4000.0000000000000        1.9839450079438417        1.9838692247570415        7.5783186800215340E-005  0.52966196714679048       -9.4786667377245650E-006   4.0026720562109133E-004
   4100.0000000000000        1.9836903931400038        1.9836172086309358        7.3184509068022785E-005  0.51149935327780283       -9.4848130727369265E-006   4.0192187973260514E-004
   4200.0000000000000        1.9840012667060807        1.9839280149840610        7.3251722019763307E-005  0.51196911637090792       -9.4596336715101060E-006   4.0856163792272565E-004
   4300.0000000000000        1.9839685328957579        1.9838970335893715        7.1499306386383062E-005  0.49972117654644632       -9.4728194432545187E-006   4.1693433468088483E-004
   4400.0000000000000        1.9840521538614260        1.9839827131351342        6.9440726291829100E-005  0.48533339967338962       -9.4232627580610057E-006   4.1892959481643375E-004
   4500.0000000000000        1.9840067603925424        1.9839329305946514        7.3829797891080721E-005  0.51600938989449652       -9.4462923652625868E-006   4.0961305759728276E-004
   4600.0000000000000        1.9844499744437070        1.9843736018606186        7.6372583088277823E-005  0.53378136104595686       -9.5384787376620999E-006   4.0395995612092490E-004
   4700.0000000000000        1.9847374088789709        1.9846642808264001        7.3128052570718824E-005  0.51110476892891465       -9.5267552287019538E-006   4.1449853784889570E-004
   4800.0000000000000        1.9845357335701397        1.9844662322997793        6.9501270360328849E-005  0.48575655277336660       -9.4464121368537743E-006   4.2665013757630754E-004
   4900.0000000000000        1.9843604094794498        1.9842899519509543        7.0457528495596007E-005  0.49244000838418667       -9.4141356920766257E-006   4.2649111190897160E-004
   5000.0000000000000        1.9840751615051730        1.9840019723522726        7.3189152900544256E-005  0.51153180983673474       -9.4447689293388462E-006   4.1728366197824052E-004
   5100.0000000000000        1.9839445358441923        1.9838688941225981        7.5641721594151581E-005  0.52867324204178678       -9.4947842343573373E-006   4.0971876017998791E-004
   5200.0000000000000        1.9841434809038423        1.9840694254287181        7.4055475124126818E-005  0.51758668760712190       -9.5292249263535094E-006   4.1578387681454613E-004
   5300.0000000000000        1.9838370330230142        1.9837692572484928        6.7775774521388791E-005  0.47369676010766681       -9.4386109715652545E-006   4.2505463864612536E-004
   5400.0000000000000        1.9836039404712325        1.9835320566140955        7.1883857136970141E-005  0.50240886910232530       -9.3881979030294817E-006   4.1618220889206312E-004
   5500.0000000000000        1.9839838407939177        1.9839062838244990        7.7556969418750516E-005  0.54205924457325860       -9.5229148460320608E-006   4.0422875236007107E-004
   5600.0000000000000        1.9845471844348117        1.9844743258945849        7.2858540226656147E-005  0.50922109994699516       -9.5251477953687705E-006   4.1163707052406013E-004
   5700.0000000000000        1.9844423721921955        1.9843710553411600        7.1316851035662521E-005  0.49844596414037706       -9.4377354533311747E-006   4.2253326025410245E-004
   5800.0000000000000        1.9847033654899513        1.9846317990552018        7.1566434749503269E-005  0.50019034843486698       -9.4493207454312766E-006   4.2656436667882027E-004
   5900.0000000000000        1.9846308873467708        1.9845592992706467        7.1588076124210593E-005  0.50034160379351877       -9.4346946018153741E-006   4.2490852841562315E-004
   6000.0000000000000        1.9844360515637434        1.9843607013107476        7.5350252995757036E-005  0.52663611695236345       -9.4730017898514030E-006   4.2190278267846667E-004
   6100.0000000000000        1.9839702806360231        1.9838988459559503        7.1434680072750888E-005  0.49926949192017028       -9.4889424596109122E-006   4.2862162082858067E-004
   6200.0000000000000        1.9840160472628545        1.9839462572865101        6.9789976344505046E-005  0.48777436946810315       -9.3981792392932808E-006   4.2951215732556783E-004
   6300.0000000000000        1.9843189195178788        1.9842428627482587        7.6056769620046937E-005  0.53157408539686590       -9.4676419915181090E-006   4.1976623428049753E-004
   6400.0000000000000        1.9843835117682660        1.9843114903407120        7.2021427554059858E-005  0.50337037284495678       -9.5218551939346998E-006   4.2166952841419110E-004
   6500.0000000000000        1.9841093801748382        1.9840390249165760        7.0355258262139552E-005  0.49172522380834255       -9.4180603724099812E-006   4.2260691699023446E-004
   6600.0000000000000        1.9838799194430281        1.9838041689673640        7.5750475664088045E-005  0.52943334328653413       -9.4804842422816024E-006   4.1483473814212603E-004
